,kepid,koi_slogg,koi_steff,koi_srad,koi_kepmag,koi_duration,koi_depth,koi_prad
0,10797460,4.467,5455.0,0.927,15.347000000000001,2.9575,615.8,2.26
1,10797460,4.467,5455.0,0.927,15.347000000000001,4.507,874.8,2.83
4,10854555,4.438,6031.0,1.046,15.509,1.6545,603.3,2.75
5,10872983,4.486000000000001,6046.0,0.972,15.714,4.5945,1517.5,3.9
6,10872983,4.486000000000001,6046.0,0.972,15.714,3.1402,686.0,2.77
7,10872983,4.486000000000001,6046.0,0.972,15.714,2.429,226.5,1.59
9,10910878,4.485,5031.0,0.848,15.841,3.5347,4914.3,5.76
10,11446443,4.457,5820.0,0.964,11.338,1.7431900000000002,14231.0,13.04
11,10666592,4.019,6440.0,1.952,10.463,3.88864,6674.7,16.1
12,6922244,4.169,6225.0,1.451,13.562999999999999,3.19843,9145.7,14.59
13,10984090,4.407,5833.0,1.022,12.772,2.6302,131.1,1.16
18,10526549,4.583,4856.0,0.696,15.302,3.2875,1288.3,2.47
19,10583066,4.648,4537.0,0.672,15.784,1.5821,1912.7,2.85
21,10601284,4.44,5185.0,0.91,15.415999999999999,3.0278,831.0,2.55
22,10601284,4.44,5185.0,0.91,15.415999999999999,2.5984,363.3,1.7
23,10601284,4.44,5185.0,0.91,15.415999999999999,3.596,217.4,1.3
25,10662202,4.5,4954.0,0.828,15.377,3.4555,857.2,2.95
26,10682541,4.552,5339.0,0.847,15.860999999999999,2.1717,934.7,2.78
27,11460018,4.564,5644.0,0.831,15.356,2.875,750.8,2.3
31,11507101,4.369,5481.0,1.036,15.172,5.588,724.2,2.82
32,10910878,4.485,5031.0,0.848,15.841,4.6297,2213.9,3.86
33,10910878,4.485,5031.0,0.848,15.841,2.5819,1036.9,2.65
34,10987985,4.499,5015.0,0.826,15.39,3.2554,1121.9,3.1
35,11018648,4.56,5586.0,0.798,15.082,4.7971,1804.8,3.36
36,11018648,4.56,5586.0,0.798,15.082,6.473,652.0,2.12
39,11153539,4.486000000000001,6075.0,0.969,15.395,3.7362,460.0,2.1
41,9579641,4.3389999999999995,5779.0,1.087,12.790999999999999,2.9472,601.6,2.94
42,11304958,4.367,5468.0,1.046,15.4,10.5989,2793.1,5.5
43,11391957,4.582,5592.0,0.787,15.317,2.2514,1041.6,2.52
44,11403044,4.417,6174.0,1.103,15.505999999999998,3.1744,1487.3,4.43
45,11414511,4.452,5532.0,0.955,15.052,2.5058700000000003,16814.0,12.21
47,12110942,4.518,5880.0,0.917,15.242,2.6557,426.7,1.89
48,12366084,4.428,5714.0,1.015,15.367,3.15,1010.9,3.25
49,12366084,4.428,5714.0,1.015,15.367,2.6255,1023.5,3.95
50,12404086,4.595,5129.0,0.763,15.234000000000002,3.573,1510.9,3.07
51,8395660,4.406000000000001,5854.0,1.012,12.882,3.3539,511.7,2.64
52,9579641,4.3389999999999995,5779.0,1.087,12.790999999999999,3.0014,192.4,1.79
54,11754553,4.6610000000000005,4126.0,0.615,15.095,3.0249,1127.1,2.0
55,11754553,4.6610000000000005,4126.0,0.615,15.095,2.0805,1306.1,2.16
56,11754553,4.6610000000000005,4126.0,0.615,15.095,4.007,1122.3,1.99
57,11812062,4.577,5497.0,0.809,15.523,2.683,5226.5,6.02
59,11853255,4.698,4149.0,0.564,15.135,1.1196,821.7,1.99
61,11918099,4.595,5005.0,0.765,15.334000000000001,1.9982,971.2,2.34
64,11923270,4.79,3688.0,0.473,15.937000000000001,2.5237,2804.5,2.65
65,11960862,4.415,5992.0,0.989,15.312000000000001,4.3084,2793.3,5.31
66,12020329,4.556,5485.0,0.867,15.08,7.5377,3001.0,4.86
67,12066335,4.702,4077.0,0.56,15.385,2.7594,1219.8,1.93
68,12066335,4.702,4077.0,0.56,15.385,1.369,1053.3,1.91
69,12070811,4.603,5557.0,0.75,15.505,3.8896,916.6,2.66
70,8395660,4.406000000000001,5854.0,1.012,12.882,6.802,615.2,2.87
73,3342970,4.442,6214.0,1.076,15.540999999999999,3.0099,837.5,3.12
74,3342970,4.442,6214.0,1.076,15.540999999999999,4.0491,950.4,3.32
76,12470844,4.587,5354.0,0.788,15.339,2.7245,1123.5,2.59
77,12470844,4.587,5354.0,0.788,15.339,5.039,931.3,2.36
78,12644822,4.508,5795.0,0.919,15.14,5.1497,6105.6,7.4
81,2713049,4.35,5519.0,1.062,15.026,2.4282,382.1,2.06
82,3114167,4.656000000000001,5653.0,0.679,15.591,2.0844,1304.0,2.77
85,4139816,4.754,3950.0,0.493,15.954,3.3203,1494.7,1.96
86,4139816,4.754,3950.0,0.493,15.954,4.758,1394.7,1.83
87,8395660,4.406000000000001,5854.0,1.012,12.882,5.351,104.0,1.31
88,4139816,4.754,3950.0,0.493,15.954,2.186,520.8,1.2
89,4275191,4.592,5557.0,0.774,15.725,2.3111,8544.8,7.34
90,4476123,4.615,5395.0,0.734,15.583,5.228,986.8,2.32
91,3351888,4.322,5539.0,1.106,15.001,2.38963,7969.0,9.73
96,3832474,4.556,5485.0,0.867,15.402999999999999,8.9302,10566.0,8.9
97,8395660,4.406000000000001,5854.0,1.012,12.882,3.262,55.8,0.79
98,3832474,4.556,5485.0,0.867,15.402999999999999,6.6188,20280.0,12.19
102,3935914,4.4910000000000005,5934.0,0.893,15.53,1.9604,15044.0,11.3
104,4049131,4.544,4905.0,0.761,15.398,4.0595,2105.5,3.41
105,4139816,4.754,3950.0,0.493,15.954,1.9104,1632.6,2.03
107,5358241,4.405,5775.0,1.053,15.386,4.4056,893.6,3.12
108,10875245,4.191,5847.0,1.402,12.487,4.1654,140.7,1.7
109,5358241,4.405,5775.0,1.053,15.386,4.793,418.0,2.76
110,5358241,4.405,5775.0,1.053,15.386,5.794,993.0,4.02
111,5358624,4.572,5150.0,0.793,15.224,2.59959,22335.0,11.58
113,4664847,4.439,5973.0,1.085,15.67,3.5957,2472.1,5.52
114,4725681,4.728,3747.0,0.524,15.414000000000001,3.827,1182.3,1.8
115,4913852,4.753,3692.0,0.517,15.877,2.2736,1558.0,2.1
119,10875245,4.191,5847.0,1.402,12.487,6.0995,430.2,2.89
120,5021899,4.41,5601.0,0.999,15.54,4.3791,1175.4,3.38
123,5164255,4.496,4986.0,0.833,16.422,3.3169,15337.0,11.01
124,5252423,4.574,4861.0,0.732,15.289000000000001,3.161,887.9,2.11
125,5252423,4.574,4861.0,0.732,15.289000000000001,2.506,417.5,1.46
126,5272878,4.553999999999999,5776.0,0.849,15.09,2.9721,780.7,2.44
129,5651104,4.519,5035.0,0.791,15.027999999999999,1.8411,10859.0,8.99
130,5792202,4.581,5251.0,0.817,15.855,3.897,3081.4,5.0
131,10875245,4.191,5847.0,1.402,12.487,4.377,50.0,1.06
132,5792202,4.581,5251.0,0.817,15.855,5.176,5073.8,6.5
136,5436502,4.191,5739.0,1.384,15.084000000000001,8.2183,3341.8,7.89
137,5436502,4.191,5739.0,1.384,15.084000000000001,6.7372,504.6,3.06
138,5436502,4.191,5739.0,1.384,15.084000000000001,4.9843,285.0,2.32
139,5436502,4.191,5739.0,1.384,15.084000000000001,3.388,115.9,1.62
140,10875245,4.191,5847.0,1.402,12.487,3.5797,120.3,1.53
141,5436502,4.191,5739.0,1.384,15.084000000000001,7.159,370.3,2.67
143,5456651,4.603,4959.0,0.756,15.208,3.57,862.7,2.37
145,5531576,4.5360000000000005,4768.0,0.779,15.66,2.6312,875.4,2.25
146,5531576,4.5360000000000005,4768.0,0.779,15.66,2.3421,391.8,1.48
148,6291653,4.553,5386.0,0.793,15.305,2.5211,9768.0,8.24
149,6392727,4.54,5815.0,0.877,15.287,2.7055,3812.1,5.39
150,6422070,4.4719999999999995,5653.0,0.949,15.257,3.5176,510.6,2.66
151,6428700,4.499,5015.0,0.826,15.376,2.9667,1024.4,3.01
152,6428700,4.499,5015.0,0.826,15.376,4.016,647.5,3.01
154,5794379,4.592,4702.0,0.686,15.389000000000001,3.0957,1149.4,2.31
155,5794379,4.592,4702.0,0.686,15.389000000000001,4.3246,1563.8,2.64
156,5881688,4.3919999999999995,6073.0,1.135,15.27,2.8589,2877.4,6.21
157,6022556,4.463,5727.0,0.978,15.581,3.0694,2020.3,4.35
158,6032497,4.444,5878.0,0.987,15.447000000000001,6.271,1187.5,3.75
159,6061119,4.584,5862.0,0.785,15.482000000000001,4.21587,25391.0,13.84
160,6191521,4.2219999999999995,5510.0,1.238,15.200999999999999,11.195,3604.6,7.59
162,3531558,4.181,5718.0,1.317,12.377,5.9409,269.6,2.29
163,6276477,4.462,5501.0,0.918,15.017999999999999,3.1775,750.6,2.47
164,6863998,4.523,5239.0,0.826,15.219000000000001,3.984,1442.4,3.68
166,6948054,4.562,5103.0,0.787,15.599,2.7297,1123.6,2.56
167,6948054,4.562,5103.0,0.787,15.599,4.7865,1572.6,3.03
168,6948054,4.562,5103.0,0.787,15.599,2.2641,812.4,2.32
169,6435936,4.757,3593.0,0.491,15.849,4.685,1626.0,1.94
170,6522242,4.586,5522.0,0.747,15.196,5.0264,22839.0,11.38
172,6587280,4.572,5237.0,0.826,15.085999999999999,2.5242,908.1,2.47
173,9471974,3.907,5626.0,2.057,12.654000000000002,11.3364,1646.2,8.2
174,6587280,4.572,5237.0,0.826,15.085999999999999,1.611,421.2,2.28
177,6685526,4.58,5265.0,0.81,15.001,1.8119,315.8,1.41
179,6784235,4.503,5895.0,0.94,15.533,2.1814,781.2,2.62
180,6849310,4.484,5527.0,0.927,15.604000000000001,2.7251,1154.0,3.11
181,6849310,4.484,5527.0,0.927,15.604000000000001,4.556,840.9,2.69
182,6849310,4.484,5527.0,0.927,15.604000000000001,1.6585,569.1,2.67
184,9471974,3.907,5626.0,2.057,12.654000000000002,15.284,1141.7,7.78
186,7366258,4.463,5427.0,0.929,15.158,3.9783,1843.5,3.91
187,7366258,4.463,5427.0,0.929,15.158,6.3994,3644.3,5.51
188,7366258,4.463,5427.0,0.929,15.158,2.9003,702.3,2.43
189,7366258,4.463,5427.0,0.929,15.158,1.8876,391.6,1.86
190,7373451,4.585,5067.0,0.75,15.859000000000002,4.1072,1772.5,3.07
191,6948054,4.562,5103.0,0.787,15.599,2.0642,488.2,1.69
192,6949607,4.696000000000001,4072.0,0.57,15.036,2.3254,961.4,1.73
193,6949607,4.696000000000001,4072.0,0.57,15.036,2.8606,881.3,1.65
196,7109675,4.447,5149.0,0.93,15.262,4.4056,7425.9,8.46
197,7109675,4.447,5149.0,0.93,15.262,2.9004,450.7,1.97
198,7118364,4.345,5754.0,1.122,15.024000000000001,2.1024,451.6,2.36
199,7134976,4.496,4986.0,0.833,15.024000000000001,2.2607,755.9,2.35
200,7134976,4.496,4986.0,0.833,15.024000000000001,3.252,353.6,1.55
203,7287995,4.641,4261.0,0.633,15.019,2.3892,1410.7,2.33
204,7287995,4.641,4261.0,0.633,15.019,2.7363,1250.6,2.18
205,7287995,4.641,4261.0,0.633,15.019,2.3734,439.0,1.42
207,7303253,4.566,4919.0,0.721,15.315999999999999,5.073,1200.7,3.16
208,5094751,4.213,5945.0,1.302,12.365,3.784,298.5,2.54
209,7678434,4.457,5121.0,0.888,15.193,3.035,1254.9,3.2
211,7685981,4.457,6007.0,0.961,15.662,5.012,549.4,2.66
213,7373451,4.585,5067.0,0.75,15.859000000000002,7.558,3136.4,4.53
216,7434875,4.5969999999999995,5097.0,0.779,15.067,2.8979,3036.1,4.16
217,8349582,4.162,5644.0,1.411,12.345999999999998,3.8757,507.3,3.13
218,7434875,4.5969999999999995,5097.0,0.779,15.067,2.8364,1382.4,2.92
219,7434875,4.5969999999999995,5097.0,0.779,15.067,1.9616,516.3,1.74
220,7455287,4.779,3713.0,0.47,15.847000000000001,2.312,1333.6,1.72
221,7455287,4.779,3713.0,0.47,15.847000000000001,4.3224,759.2,1.29
222,7455287,4.779,3713.0,0.47,15.847000000000001,2.6333,767.3,1.3
223,7458762,4.5169999999999995,5849.0,0.919,15.030999999999999,2.5242,620.5,2.45
225,757450,4.5,5332.0,0.843,15.264000000000001,2.07004,16053.0,10.51
226,7585481,4.442,6214.0,1.076,15.261,4.2024099999999995,6911.1,8.95
227,7663691,4.47,6063.0,1.001,15.062999999999999,5.344,936.1,3.52
228,5812701,4.308,6823.0,1.367,11.353,7.41287,9065.2,13.16
231,8039892,4.563,5865.0,0.827,15.812999999999999,4.2362,6932.3,6.96
232,8150320,4.656000000000001,4500.0,0.646,15.790999999999999,1.6485,724.2,1.85
233,8150320,4.656000000000001,4500.0,0.646,15.790999999999999,3.95,942.5,1.9
234,11086270,4.024,5869.0,1.626,12.935,3.7727,252.1,2.57
236,7825899,4.564,5191.0,0.837,15.258,4.0374,2590.7,4.14
237,7825899,4.564,5191.0,0.837,15.258,2.9785,1328.5,2.96
238,7849854,4.393,5855.0,1.08,15.257,2.0778,14281.0,13.12
239,7870390,4.73,3906.0,0.509,15.777000000000001,2.4517,1897.8,2.23
240,7870390,4.73,3906.0,0.509,15.777000000000001,2.153,1037.4,1.66
241,5094751,4.213,5945.0,1.302,12.365,6.5093,366.0,2.48
242,7870390,4.73,3906.0,0.509,15.777000000000001,4.154,1432.1,2.25
243,7907423,4.855,3561.0,0.411,15.234000000000002,2.1764,807.6,1.16
244,7907423,4.855,3561.0,0.411,15.234000000000002,1.8177,509.2,0.91
245,7907423,4.855,3561.0,0.411,15.234000000000002,2.4714,756.1,1.11
247,8490993,4.471,6077.0,0.999,15.399000000000001,2.5833,538.6,2.85
248,8490993,4.471,6077.0,0.999,15.399000000000001,8.593,685.4,3.43
249,8505670,4.6819999999999995,4201.0,0.591,15.058,2.9993,1675.6,2.34
250,8505670,4.6819999999999995,4201.0,0.591,15.058,1.915,362.3,1.18
251,8544996,4.581,5655.0,0.794,15.198,3.23015,17859.0,10.55
253,8150320,4.656000000000001,4500.0,0.646,15.790999999999999,5.083,895.5,1.85
254,8150320,4.656000000000001,4500.0,0.646,15.790999999999999,2.2618,575.8,1.62
255,8150320,4.656000000000001,4500.0,0.646,15.790999999999999,2.4283,634.1,1.75
257,8226994,4.494,5029.0,0.838,15.46,2.5882,867.0,2.47
258,8226994,4.494,5029.0,0.838,15.46,2.0873,763.3,2.43
259,8226994,4.494,5029.0,0.838,15.46,2.535,175.2,1.08
260,8247638,4.488,5527.0,0.866,15.222999999999999,4.1575,973.5,2.72
261,8247638,4.488,5527.0,0.866,15.222999999999999,5.172,1015.8,3.14
262,8247638,4.488,5527.0,0.866,15.222999999999999,2.603,251.3,1.36
263,11086270,4.024,5869.0,1.626,12.935,4.819,363.4,3.09
264,8247638,4.488,5527.0,0.866,15.222999999999999,4.448,952.5,2.64
265,8255887,4.246,5560.0,1.21,15.113,3.16114,7912.7,10.6
267,8414716,4.5889999999999995,5198.0,0.801,15.651,2.9804,1151.4,2.68
269,9141746,4.413,6123.0,1.107,15.649000000000001,4.301,7163.3,9.66
271,9166862,4.46,6033.0,1.046,15.272,3.2179,16653.0,13.61
273,11449844,4.539,5510.0,0.879,13.779000000000002,5.04169,23530.0,13.26
275,8628973,4.481,5609.0,0.944,15.142000000000001,1.8007,1398.2,3.94
277,8672910,4.455,5231.0,0.9,15.011,6.5292,15664.0,10.98
279,8689031,4.629,5481.0,0.708,15.067,3.4097,1144.9,2.6
280,8689373,4.593,5196.0,0.775,15.532,3.4366,1110.7,2.53
281,8689373,4.593,5196.0,0.775,15.532,4.2309,1506.9,2.95
282,8689373,4.593,5196.0,0.775,15.532,1.9012,426.1,1.7
283,8826878,4.457,5431.0,0.884,15.365,3.228,697.5,2.94
284,5897826,3.9989999999999997,5855.0,1.796,13.109000000000002,11.4813,13494.0,20.7
285,8883593,4.531000000000001,5897.0,0.891,15.543,3.4412,1240.2,3.13
288,9077124,4.47,6007.0,0.998,15.603,3.3129,1473.4,3.82
291,9466668,4.221,5553.0,1.25,15.065,3.1915,273.6,2.06
292,9466668,4.221,5553.0,1.25,15.065,2.1888,159.6,1.57
293,9466668,4.221,5553.0,1.25,15.065,3.605,307.8,2.3
294,9479273,4.584,5085.0,0.712,15.017000000000001,4.6912,2090.3,3.18
295,8359498,4.421,5524.0,0.994,13.937999999999999,2.91089,11382.0,10.43
297,9334289,4.362,5561.0,1.06,15.843,2.9183,1539.1,4.09
298,9334289,4.362,5561.0,1.06,15.843,3.739,611.3,2.58
299,9334289,4.362,5561.0,1.06,15.843,3.895,796.8,3.05
300,9347899,4.22,6035.0,1.257,15.237,5.1937,1910.5,5.5
301,9347899,4.22,6035.0,1.257,15.237,6.1998,1719.3,5.22
302,9347899,4.22,6035.0,1.257,15.237,8.871,1009.6,4.0
304,9388479,4.8069999999999995,3582.0,0.458,15.073,2.4327,2237.0,2.13
305,9388479,4.8069999999999995,3582.0,0.458,15.073,1.0981,741.7,1.24
306,11359879,4.459,5514.0,0.978,13.758,3.25346,11145.0,10.62
307,9406990,4.5489999999999995,5537.0,0.88,15.412,4.0454,988.4,2.74
308,9415172,4.365,5344.0,1.013,15.595999999999998,3.3862,994.5,3.12
309,9415172,4.365,5344.0,1.013,15.595999999999998,1.8955,213.0,1.45
310,9415172,4.365,5344.0,1.013,15.595999999999998,2.336,297.8,1.78
312,3231341,4.197,5896.0,1.24,14.925,5.073,446.8,3.43
313,3231341,4.197,5896.0,1.24,14.925,4.529,430.7,43.17
314,3231341,4.197,5896.0,1.24,14.925,3.282,174.0,2.07
316,7626506,4.508,5551.0,0.812,13.770999999999999,4.9427,824.9,2.32
332,8559644,4.293,5873.0,1.235,13.492,11.1899,3487.5,7.67
335,3240158,4.353,6049.0,1.176,14.818,3.6379,443.3,2.47
336,3240158,4.353,6049.0,1.176,14.818,4.158,178.5,1.62
338,3218908,3.3169999999999997,4941.0,4.885,14.604000000000001,3.9835,640.9,13.92
342,10350571,4.1,5676.0,1.487,13.29,13.566,145.1,1.78
343,3749365,4.762,3807.0,0.503,15.715,1.82542,30222.0,8.78
348,3632418,4.026,6202.0,1.733,8.224,3.5599,68.9,1.69
